s_name,aumdate,aumtotal,classification,schemecode
SBI Nifty 50 ETF,2025-06-30T00:00:00.000Z,206657.04,Equity : ETFs,33369
SBI BSE Sensex ETF,2025-06-30T00:00:00.000Z,120041.17,Equity : ETFs,20447
Parag Parikh Flexi Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,110392.32,Equity : Flexi Cap,21520
HDFC Balanced Advantage Fund(G),2025-06-30T00:00:00.000Z,102789.77,Hybrid : Dynamic Asset Allocation,1273
HDFC Mid Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,84061.43,Equity : Mid Cap,1305
HDFC Flexi Cap Fund(G),2025-06-30T00:00:00.000Z,79584.54,Equity : Flexi Cap,1131
SBI Equity Hybrid Fund-Reg(G),2025-06-30T00:00:00.000Z,78708.42,Hybrid : Equity Oriented,2747
ICICI Pru Large Cap Fund(G),2025-06-30T00:00:00.000Z,72336.05,Equity : Large Cap,4980
Kotak Arbitrage Fund(G),2025-06-30T00:00:00.000Z,69923.77,Hybrid : Arbitrage,1979
Nippon India Small Cap Fund(G),2025-06-30T00:00:00.000Z,66601.8,Equity : Small Cap,12758
ICICI Pru Balanced Advantage Fund(G),2025-06-30T00:00:00.000Z,65297.87,Hybrid : Dynamic Asset Allocation,1470
UTI Nifty 50 ETF,2025-06-30T00:00:00.000Z,64150.21,Equity : ETFs,33150
HDFC Liquid Fund(G),2025-06-30T00:00:00.000Z,63547.69,Debt : Liquid,1286
SBI Liquid Fund-Reg(G),2025-06-30T00:00:00.000Z,62208.07,Debt : Liquid,2828
ICICI Pru Multi-Asset Fund(G),2025-06-30T00:00:00.000Z,62013.62,Hybrid : Multi Asset Allocation,1495
Kotak Midcap Fund-Reg(G),2025-06-30T00:00:00.000Z,57101.96,Equity : Mid Cap,1977
Kotak Flexicap Fund(G),2025-06-30T00:00:00.000Z,54840.98,Equity : Flexi Cap,7874
ICICI Pru Value Fund(G),2025-06-30T00:00:00.000Z,54096.42,Equity : Value / Contra,1492
SBI Large Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,53959.08,Equity : Large Cap,2711
UTI BSE Sensex ETF,2025-06-30T00:00:00.000Z,50409.39,Equity : ETFs,33151
Nippon India ETF Nifty 50 BeES,2025-06-30T00:00:00.000Z,50104.08,Equity : ETFs,2272
ICICI Pru Liquid Fund(G),2025-06-30T00:00:00.000Z,49517.31,Debt : Liquid,1659
Aditya Birla SL Liquid Fund(G),2025-06-30T00:00:00.000Z,49485.72,Debt : Liquid,293
SBI Contra Fund-Reg(G),2025-06-30T00:00:00.000Z,47389.62,Equity : Value / Contra,2809
Nippon India Multi Cap Fund(G),2025-06-30T00:00:00.000Z,45366.09,Equity : Multi Cap,2466
ICICI Pru Equity & Debt Fund(G),2025-06-30T00:00:00.000Z,44552.28,Hybrid : Equity Oriented,1482
Nippon India Large Cap Fund(G),2025-06-30T00:00:00.000Z,43828.6,Equity : Large Cap,2455
Mirae Asset Large & Midcap Fund-Reg(G),2025-06-30T00:00:00.000Z,41201.87,Equity : Large & Mid Cap,9767
Mirae Asset Large Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,40724.59,Equity : Large Cap,4457
Nippon India Growth Mid Cap Fund(G),2025-06-30T00:00:00.000Z,39065.55,Equity : Mid Cap,2573
HDFC Large Cap Fund(G),2025-06-30T00:00:00.000Z,38905.12,Equity : Large Cap,1331
SBI Focused Fund-Reg(G),2025-06-30T00:00:00.000Z,38610.43,Equity : Multi Cap,2817
SBI Arbitrage Opportunities Fund-Reg(G),2025-06-30T00:00:00.000Z,37605.64,Hybrid : Arbitrage,2709
SBI Balanced Advantage Fund-Reg(G),2025-06-30T00:00:00.000Z,36637.47,Hybrid : Dynamic Asset Allocation,32097
Axis ELSS Tax Saver Fund-Reg(G),2025-06-30T00:00:00.000Z,36257.53,Equity : Tax Saving (ELSS),8408
CPSE ETF,2025-06-30T00:00:00.000Z,35997.92,Equity : ETFs,27621
HDFC Small Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,35780.59,Equity : Small Cap,4455
SBI Small Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,35696.19,Equity : Small Cap,7885
HDFC Corp Bond Fund(G),2025-06-30T00:00:00.000Z,35685.99,Debt : Corporate Bond,8241
Kotak Liquid Fund-Reg(G),2025-06-30T00:00:00.000Z,34686.5,Debt : Liquid,2060
Nippon India Liquid Fund(G),2025-06-30T00:00:00.000Z,34489.73,Debt : Liquid,2637
Axis Large Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,34373.88,Equity : Large Cap,8250
Axis Liquid Fund-Reg(G),2025-06-30T00:00:00.000Z,33529.1,Debt : Liquid,8029
ICICI Pru Corp Bond Fund(G),2025-06-30T00:00:00.000Z,33109.1,Debt : Corporate Bond,7925
Motilal Oswal Midcap Fund-Reg(G),2025-06-30T00:00:00.000Z,33053.13,Equity : Mid Cap,22533
SBI Large & Midcap Fund-Reg(G),2025-06-30T00:00:00.000Z,33031.14,Equity : Large & Mid Cap,2801
SBI Savings Fund-Reg(G),2025-06-30T00:00:00.000Z,32655.44,Debt : Money Market,2774
Tata Money Market Fund-Reg(G),2025-06-30T00:00:00.000Z,32550.91,Debt : Money Market,3267
Axis Midcap Fund-Reg(G),2025-06-30T00:00:00.000Z,32068.52,Equity : Mid Cap,13049
HDFC Money Market Fund-Reg(G),2025-06-30T00:00:00.000Z,31769.06,Debt : Money Market,1119
ICICI Pru Nifty 50 ETF,2025-06-30T00:00:00.000Z,31378.05,Equity : ETFs,20803
Kotak Money Market Fund(G),2025-06-30T00:00:00.000Z,31039.21,Debt : Money Market,1999
Aditya Birla SL Large Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,30927.44,Equity : Large Cap,447
ICICI Pru Equity-Arbitrage Fund(G),2025-06-30T00:00:00.000Z,30811.49,Hybrid : Arbitrage,1467
SBI ELSS Tax Saver Fund-Reg(G),2025-06-30T00:00:00.000Z,30616.22,Equity : Tax Saving (ELSS),2815
Quant Small Cap Fund(G),2025-06-30T00:00:00.000Z,29629.09,Equity : Small Cap,876
ICICI Pru India Opp Fund(G),2025-06-30T00:00:00.000Z,29462.53,Equity : Thematic,42140
ICICI Pru Money Market Fund(G),2025-06-30T00:00:00.000Z,29264.38,Debt : Money Market,1690
Aditya Birla SL Corp Bond Fund(G),2025-06-30T00:00:00.000Z,28629.93,Debt : Corporate Bond,453
Kotak Large & Midcap Fund(G),2025-06-30T00:00:00.000Z,28294.15,Equity : Large & Mid Cap,2069
ICICI Pru Asset Allocator Fund(FOF)(G),2025-06-30T00:00:00.000Z,26858.09,FoFs : Domestic,1704
HDFC Large and Mid Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,26848.85,Equity : Large & Mid Cap,2271
Mirae Asset ELSS Tax Saver Fund-Reg(G),2025-06-30T00:00:00.000Z,26537.48,Equity : Tax Saving (ELSS),33536
Axis Small Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,26379.2,Equity : Small Cap,21651
UTI Flexi Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,26324.59,Equity : Flexi Cap,3461
SBI Overnight Fund-Reg(G),2025-06-30T00:00:00.000Z,26195.28,Debt : Overnight,2787
Canara Rob Large and Mid Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,26117.61,Equity : Large & Mid Cap,523
Aditya Birla SL Money Manager Fund(G),2025-06-30T00:00:00.000Z,25692.97,Debt : Money Market,394
SBI Corp Bond Fund-Reg(G),2025-06-30T00:00:00.000Z,25615.9,Debt : Corporate Bond,40450
ICICI Pru Savings Fund(G),2025-06-30T00:00:00.000Z,25546.71,Debt : Low Duration,1500
BHARAT Bond ETF - April 2030,2025-06-30T00:00:00.000Z,25294.14,Debt : ETFs,44421
HDFC Hybrid Equity Fund(G),2025-06-30T00:00:00.000Z,24854.06,Hybrid : Equity Oriented,1311
UTI Nifty 50 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,24115.5,Equity : Index Funds,3641
Invesco India Arbitrage Fund(G),2025-06-30T00:00:00.000Z,23899.9,Hybrid : Arbitrage,2167
Aditya Birla SL Flexi Cap Fund(G),2025-06-30T00:00:00.000Z,23606.24,Equity : Flexi Cap,445
Tata Liquid Fund-Reg(G),2025-06-30T00:00:00.000Z,23367.52,Debt : Liquid,3212
UTI Liquid Fund-Reg(G),2025-06-30T00:00:00.000Z,23272.69,Debt : Liquid,3590
SBI Midcap Fund-Reg(G),2025-06-30T00:00:00.000Z,23269.0,Equity : Mid Cap,2789
ICICI Pru Large & Mid Cap Fund(G),2025-06-30T00:00:00.000Z,22856.59,Equity : Large & Mid Cap,1608
HDFC Low Duration Fund(G),2025-06-30T00:00:00.000Z,22750.91,Debt : Low Duration,1114
SBI Flexicap Fund-Reg(G),2025-06-30T00:00:00.000Z,22499.74,Equity : Flexi Cap,2799
ICICI Pru BSE Sensex ETF,2025-06-30T00:00:00.000Z,22130.08,Equity : ETFs,2848
SBI Multicap Fund-Reg(G),2025-06-30T00:00:00.000Z,21724.53,Equity : Multi Cap,46405
Nippon India ETF Gold BeES,2025-06-30T00:00:00.000Z,21579.71,Gold : ETFs,1024
ICICI Pru Short Term Fund(G),2025-06-30T00:00:00.000Z,21490.79,Debt : Short Duration,1682
HDFC Arbitrage-WP(G),2025-06-30T00:00:00.000Z,21068.1,Hybrid : Arbitrage,1103
HDFC Nifty 50 Index Fund(G)(Post Addendum),2025-06-30T00:00:00.000Z,21042.72,Equity : Index Funds,12633
HDFC Focused Fund-Reg(G),2025-06-30T00:00:00.000Z,20868.27,Equity : Multi Cap,1129
Aditya Birla SL Arbitrage Fund(G),2025-06-30T00:00:00.000Z,20646.25,Hybrid : Arbitrage,7889
Nippon India Money Market Fund(G),2025-06-30T00:00:00.000Z,20190.74,Debt : Money Market,2628
Nippon India ETF BSE Sensex,2025-06-30T00:00:00.000Z,19802.87,Equity : ETFs,30127
DSP Midcap Fund-Reg(G),2025-06-30T00:00:00.000Z,19559.23,Equity : Mid Cap,735
Franklin India Flexi Cap Fund(G),2025-06-30T00:00:00.000Z,19364.97,Equity : Flexi Cap,950
Invesco India Contra Fund(G),2025-06-30T00:00:00.000Z,19257.4,Equity : Value / Contra,2169
Aditya Birla SL Savings Fund-Reg(G),2025-06-30T00:00:00.000Z,19189.39,Debt : Ultra Short Duration,468
Kotak Multicap Fund-Reg(G),2025-06-30T00:00:00.000Z,18904.21,Equity : Multi Cap,45336
HSBC Liquid Fund(G),2025-06-30T00:00:00.000Z,18692.68,Debt : Liquid,1340
HDFC Multi Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,18512.73,Equity : Multi Cap,46093
UTI Money Market Fund-Reg(G),2025-06-30T00:00:00.000Z,18353.7,Debt : Money Market,7914
Axis Money Market Fund-Reg(G),2025-06-30T00:00:00.000Z,18168.6,Debt : Money Market,21218
Kotak Small Cap Fund(G),2025-06-30T00:00:00.000Z,18031.02,Equity : Small Cap,2066
ICICI Pru Flexicap Fund(G),2025-06-30T00:00:00.000Z,17945.86,Equity : Flexi Cap,45492
Kotak Balanced Advantage Fund-Reg(G),2025-06-30T00:00:00.000Z,17677.5,Hybrid : Dynamic Asset Allocation,40623
Kotak Bond Short Term Fund(G),2025-06-30T00:00:00.000Z,17676.41,Debt : Short Duration,1971
DSP ELSS Tax Saver Fund-Reg(G),2025-06-30T00:00:00.000Z,17427.57,Equity : Tax Saving (ELSS),745
HDFC Short Term Debt Fund(G),2025-06-30T00:00:00.000Z,17402.27,Debt : Short Duration,11925
Kotak Corporate Bond Fund(G),2025-06-30T00:00:00.000Z,17303.99,Debt : Corporate Bond,265
Mirae Asset Midcap Fund-Reg(G),2025-06-30T00:00:00.000Z,17184.81,Equity : Mid Cap,43349
HDFC Ultra Short Term Fund-Reg(G),2025-06-30T00:00:00.000Z,17166.9,Debt : Ultra Short Duration,39949
DSP Small Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,17125.76,Equity : Small Cap,714
Bharat 22 ETF,2025-06-30T00:00:00.000Z,17066.87,Equity : ETFs,38252
DSP Liquidity Fund-Reg(G),2025-06-30T00:00:00.000Z,16925.87,Debt : Liquid,708
HSBC Small Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,16909.21,Equity : Small Cap,22139
HDFC ELSS Tax saver(G),2025-06-30T00:00:00.000Z,16908.0,Equity : Tax Saving (ELSS),1329
Canara Rob Large Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,16617.33,Equity : Large Cap,8217
SBI Magnum Ultra Short Duration Fund-Reg(G),2025-06-30T00:00:00.000Z,16407.96,Debt : Ultra Short Duration,2785
SBI Short Term Debt Fund-Reg(G),2025-06-30T00:00:00.000Z,16052.83,Debt : Short Duration,2843
ICICI Pru Ultra Short Term Fund Fund(G),2025-06-30T00:00:00.000Z,16051.03,Debt : Ultra Short Duration,12454
Tata Arbitrage Fund-Reg(G),2025-06-30T00:00:00.000Z,15922.05,Hybrid : Arbitrage,38865
Aditya Birla SL ELSS Tax Saver Fund(G),2025-06-30T00:00:00.000Z,15869.72,Equity : Tax Saving (ELSS),4637
DSP Large & Mid Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,15663.38,Equity : Large & Mid Cap,716
Bandhan Corp Bond Fund-Reg(G),2025-06-30T00:00:00.000Z,15626.39,Debt : Corporate Bond,31896
Nippon India ELSS Tax Saver Fund(G),2025-06-30T00:00:00.000Z,15623.15,Equity : Tax Saving (ELSS),2667
ICICI Pru Multicap Fund(G),2025-06-30T00:00:00.000Z,15532.54,Equity : Multi Cap,1677
Kotak Savings Fund(G),2025-06-30T00:00:00.000Z,15526.59,Debt : Ultra Short Duration,1995
HDFC Floating Rate Debt Fund(G),2025-06-30T00:00:00.000Z,15321.94,Debt : Floater,3728
Edelweiss Arbitrage Fund-Reg(G),2025-06-30T00:00:00.000Z,15045.14,Hybrid : Arbitrage,27622
Axis Large & Mid Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,14954.28,Equity : Large & Mid Cap,38080
ICICI Pru All Seasons Bond Fund(G),2025-06-30T00:00:00.000Z,14952.44,Debt : Dynamic Bond,8499
Nippon India Arbitrage Fund(G),2025-06-30T00:00:00.000Z,14948.24,Hybrid : Arbitrage,12938
SBI Magnum Low Duration Fund-Reg(G),2025-06-30T00:00:00.000Z,14824.17,Debt : Low Duration,2832
ICICI Pru ELSS Tax Saver Fund(G),2025-06-30T00:00:00.000Z,14660.64,Equity : Tax Saving (ELSS),1694
ICICI Pru Technology Fund(G),2025-06-30T00:00:00.000Z,14590.31,Equity : Sectoral - Technology,1695
ICICI Pru Equity Savings Fund-Reg(G),2025-06-30T00:00:00.000Z,14168.06,Hybrid : Equity Oriented,31230
ICICI Pru Nifty 50 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,14089.53,Equity : Index Funds,1623
HSBC Value Fund-Reg(G),2025-06-30T00:00:00.000Z,14053.52,Equity : Value / Contra,8262
Franklin India Small Cap Fund(G),2025-06-30T00:00:00.000Z,13995.27,Equity : Small Cap,952
Motilal Oswal Flexi Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,13893.76,Equity : Flexi Cap,26481
Canara Rob Flexi Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,13588.06,Equity : Flexi Cap,526
Aditya Birla SL Floating Rate Fund(G),2025-06-30T00:00:00.000Z,13531.48,Debt : Floater,7727
Bandhan Banking and PSU Fund-Reg(G),2025-06-30T00:00:00.000Z,13500.37,Debt : Banking & PSU,20747
ICICI Pru Business Cycle Fund(G),2025-06-30T00:00:00.000Z,13469.81,Equity : Thematic,44146
BHARAT Bond ETF - April 2031,2025-06-30T00:00:00.000Z,13407.35,Debt : ETFs,45008
Axis Flexi Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,13316.5,Equity : Flexi Cap,38212
Axis Banking & PSU Debt Fund-Reg(G),2025-06-30T00:00:00.000Z,13264.46,Debt : Banking & PSU,16903
Canara Rob Small Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,13103.87,Equity : Small Cap,42350
UTI Large Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,13074.26,Equity : Large Cap,3626
Edelweiss Balanced Advantage Fund-Reg(G),2025-06-30T00:00:00.000Z,13046.96,Hybrid : Dynamic Asset Allocation,7912
Axis Focused Fund-Reg(G),2025-06-30T00:00:00.000Z,13024.65,Equity : Multi Cap,15557
Bandhan Small Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,12981.57,Equity : Small Cap,42342
Kotak Low Duration Fund(G),2025-06-30T00:00:00.000Z,12943.62,Debt : Low Duration,4573
Sundaram Mid Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,12818.1,Equity : Mid Cap,3067
Franklin India Mid Cap Fund(G),2025-06-30T00:00:00.000Z,12784.81,Equity : Mid Cap,948
Franklin India Focused Equity Fund(G),2025-06-30T00:00:00.000Z,12536.45,Equity : Multi Cap,938
Aditya Birla SL Low Duration Fund(G),2025-06-30T00:00:00.000Z,12396.21,Debt : Low Duration,440
Nippon India ETF Nifty 1D Rate Liquid BeES,2025-06-30T00:00:00.000Z,12380.91,Debt : ETFs,2155
Invesco India Liquid Fund(G),2025-06-30T00:00:00.000Z,12320.15,Debt : Liquid,2240
Bandhan Liquid Fund-Reg(G),2025-06-30T00:00:00.000Z,12298.33,Debt : Liquid,1032
ICICI Pru Focused Equity Fund(G),2025-06-30T00:00:00.000Z,12243.51,Equity : Large Cap,7747
UTI Mid Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,12224.27,Equity : Mid Cap,3628
Tata Digital India Fund-Reg(G),2025-06-30T00:00:00.000Z,12216.31,Equity : Sectoral - Technology,33727
DSP Flexi Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,12187.76,Equity : Flexi Cap,642
HDFC Manufacturing Fund-Reg(G),2025-06-30T00:00:00.000Z,12169.75,Equity : Thematic,48655
SBI Magnum Gilt Fund-Reg(G),2025-06-30T00:00:00.000Z,12148.74,Debt : Gilt,2754
HSBC Midcap Fund-Reg(G),2025-06-30T00:00:00.000Z,12146.02,Equity : Mid Cap,611
Quant ELSS Tax Saver Fund(G),2025-06-30T00:00:00.000Z,11922.65,Equity : Tax Saving (ELSS),889
Motilal Oswal Large & Midcap Fund-Reg(G),2025-06-30T00:00:00.000Z,11816.3,Equity : Large & Mid Cap,42803
PGIM India Midcap Fund-Reg(G),2025-06-30T00:00:00.000Z,11640.22,Equity : Mid Cap,24741
Axis Short Duration Fund-Reg(G),2025-06-30T00:00:00.000Z,11466.7,Debt : Short Duration,8488
DSP Aggressive Hybrid Fund-Reg(G),2025-06-30T00:00:00.000Z,11417.61,Hybrid : Equity Oriented,635
Canara Rob Equity Hybrid Fund-Reg(G),2025-06-30T00:00:00.000Z,11242.91,Hybrid : Equity Oriented,513
Mirae Asset Liquid Fund-Reg(G),2025-06-30T00:00:00.000Z,11238.47,Debt : Liquid,7554
Tata Small Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,11163.84,Equity : Small Cap,35242
Bandhan Money Market Fund-Reg(G),2025-06-30T00:00:00.000Z,11082.43,Debt : Money Market,1052
Edelweiss Mid Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,10988.16,Equity : Mid Cap,3790
BHARAT Bond ETF - April 2032,2025-06-30T00:00:00.000Z,10944.47,Debt : ETFs,46127
Bandhan Bond Fund - Short Term Plan-Reg(G),2025-06-30T00:00:00.000Z,10771.51,Debt : Short Duration,1097
ICICI Pru Banking & PSU Debt Fund(G),2025-06-30T00:00:00.000Z,10588.38,Debt : Banking & PSU,8080
Kotak Large Cap Fund(G),2025-06-30T00:00:00.000Z,10515.75,Equity : Large Cap,1962
ICICI Pru Overnight Fund(G),2025-06-30T00:00:00.000Z,10505.06,Debt : Overnight,41653
SBI Energy Opportunities Fund-Reg(G),2025-06-30T00:00:00.000Z,10460.8,Equity : Sectoral - Energy / Power,48474
