fincode,invdate,noshares,percent_aum,schemecode
100180,2026-05-31,97575090,10.53,33150
132174,2026-05-31,45580368,8.30,33150
100325,2026-05-31,43063043,8.25,33150
132454,2026-05-31,19569146,5.19,33150
100510,2026-05-31,7485703,4.42,33150
100209,2026-05-31,22353543,3.76,33150
100112,2026-05-31,26457101,3.70,33150
132215,2026-05-31,18293058,3.41,33150
100247,2026-05-31,46937371,2.61,33150
100875,2026-05-31,61450316,2.56,33150
100520,2026-05-31,5697234,2.52,33150
100034,2026-05-31,17055843,2.25,33150
132540,2026-05-31,6510634,2.13,33150
100696,2026-05-31,5657778,1.77,33150
124715,2026-05-31,6750527,1.76,33150
132555,2026-05-31,30225744,1.70,33150
252306,2026-05-31,45925543,1.67,33150
132500,2026-05-31,836581,1.59,33150
100470,2026-05-31,52696403,1.59,33150
100114,2026-05-31,2630850,1.55,33150
100440,2026-05-31,9228405,1.51,33150
100049,2026-05-31,22835612,1.36,33150
132538,2026-05-31,755013,1.26,33150
132921,2026-05-31,4703476,1.23,33150
111218,2026-05-31,8928415,1.23,33150
132898,2026-05-31,28875451,1.22,33150
132281,2026-05-31,6727879,1.15,33150
100820,2026-05-31,2882700,1.12,33150
100228,2026-05-31,5977656,1.11,33150
100300,2026-05-31,2427218,1.10,33150
200132,2026-05-31,706420,1.07,33150
219300,2026-05-31,14475169,0.96,33150
100312,2026-05-31,24766452,0.95,33150
205198,2026-05-31,3679839,0.95,33150
100790,2026-05-31,4571215,0.94,33150
222055,2026-05-31,1442253,0.92,33150
105200,2026-05-31,877393,0.91,33150
132755,2026-05-31,4047563,0.87,33150
100251,2026-05-31,1414623,0.87,33150
112599,2026-05-31,1827063,0.78,33150
108869,2026-05-31,656061,0.78,33150
100570,2026-05-31,13352683,0.76,33150
211385,2026-05-31,2863459,0.76,33150
100124,2026-05-31,3885198,0.73,33150
100087,2026-05-31,3586875,0.73,33150
229365,2026-05-31,20909240,0.72,33150
100800,2026-05-31,4151364,0.71,33150
218071,2026-05-31,4743933,0.66,33150
217389,2026-05-31,6856007,0.59,33150
107685,2026-05-31,18219989,0.54,33150
100180,2026-05-31,91197814,12.80,33151
132174,2026-05-31,42842133,10.14,33151
100325,2026-05-31,40499331,10.08,33151
132454,2026-05-31,17064984,5.89,33151
100510,2026-05-31,6998671,5.38,33151
100209,2026-05-31,20875259,4.56,33151
100112,2026-05-31,24862453,4.52,33151
132215,2026-05-31,17108883,4.15,33151
100247,2026-05-31,44054980,3.19,33151
100875,2026-05-31,57745183,3.12,33151
100520,2026-05-31,5359066,3.07,33151
100034,2026-05-31,16015224,2.73,33151
132540,2026-05-31,6063702,2.58,33151
124715,2026-05-31,6462399,2.19,33151
100696,2026-05-31,5344125,2.16,33151
132555,2026-05-31,28439321,2.07,33151
252306,2026-05-31,42744035,2.02,33151
132500,2026-05-31,790381,1.95,33151
100470,2026-05-31,49314997,1.94,33151
100114,2026-05-31,2444370,1.88,33151
100049,2026-05-31,21438827,1.66,33151
132538,2026-05-31,705521,1.52,33151
132921,2026-05-31,4412914,1.50,33151
132898,2026-05-31,27277711,1.49,33151
132281,2026-05-31,6334635,1.41,33151
100820,2026-05-31,2698403,1.36,33151
205198,2026-05-31,3353034,1.13,33151
222055,2026-05-31,1342162,1.11,33151
132755,2026-05-31,3811910,1.07,33151
100251,2026-05-31,1319216,1.05,33151
100180,2026-05-31,39371438,10.53,3641
132174,2026-05-31,18391627,8.30,3641
100325,2026-05-31,17375889,8.25,3641
132454,2026-05-31,7896128,5.19,3641
100510,2026-05-31,3020473,4.42,3641
100209,2026-05-31,9019629,3.76,3641
100112,2026-05-31,10675410,3.70,3641
132215,2026-05-31,7381228,3.41,3641
100247,2026-05-31,18939176,2.61,3641
100875,2026-05-31,24795133,2.56,3641
100520,2026-05-31,2298827,2.52,3641
100034,2026-05-31,6882013,2.25,3641
132540,2026-05-31,2627033,2.13,3641
100696,2026-05-31,2282907,1.77,3641
124715,2026-05-31,2723830,1.76,3641
132555,2026-05-31,12196054,1.70,3641
252306,2026-05-31,18530905,1.67,3641
132500,2026-05-31,337560,1.59,3641
100470,2026-05-31,21262939,1.59,3641
100114,2026-05-31,1061545,1.55,3641
100440,2026-05-31,3723651,1.51,3641
100049,2026-05-31,9214144,1.36,3641
132538,2026-05-31,304647,1.26,3641
132921,2026-05-31,1897847,1.23,3641
111218,2026-05-31,3602605,1.23,3641
132898,2026-05-31,11651212,1.22,3641
132281,2026-05-31,2714691,1.15,3641
100820,2026-05-31,1163166,1.12,3641
100228,2026-05-31,2411977,1.11,3641
100300,2026-05-31,979380,1.10,3641
200132,2026-05-31,285039,1.07,3641
219300,2026-05-31,5840714,0.96,3641
100312,2026-05-31,9993235,0.95,3641
205198,2026-05-31,1484811,0.95,3641
100790,2026-05-31,1844480,0.94,3641
222055,2026-05-31,581948,0.92,3641
105200,2026-05-31,354027,0.91,3641
132755,2026-05-31,1633187,0.87,3641
100251,2026-05-31,570799,0.87,3641
112599,2026-05-31,737218,0.78,3641
108869,2026-05-31,264720,0.78,3641
100570,2026-05-31,5387793,0.76,3641
211385,2026-05-31,1155402,0.76,3641
100124,2026-05-31,1567673,0.73,3641
100087,2026-05-31,1447300,0.73,3641
229365,2026-05-31,8436855,0.72,3641
