fincode,invdate,percent_aum,schemecode
217287,2025-03-31,0.00,33150
293680,2025-03-31,0.05,2828
217287,2025-03-31,-14.70,2828
293680,2025-03-31,0.37,1286
217285,2025-03-31,0.36,1286
217287,2025-03-31,-21.40,1286
217287,2025-03-31,0.00,33151
293680,2025-03-31,0.56,1659
217287,2025-03-31,-19.19,1659
217285,2025-03-31,5.85,293
207979,2025-03-31,0.06,293
217287,2025-03-31,-20.35,293
217287,2025-03-31,-19.16,8029
293680,2025-03-31,2.31,8241
217287,2025-03-31,2.91,8241
293680,2025-03-31,1.24,7925
217287,2025-03-31,2.29,7925
293680,2025-03-31,0.03,2637
217639,2025-03-31,0.01,2637
217287,2025-03-31,-17.10,2637
293680,2025-03-31,0.06,3267
218038,2025-03-31,0.00,3267
217287,2025-03-31,-9.83,3267
293680,2025-03-31,2.20,1119
217287,2025-03-31,-8.70,1119
207979,2025-03-31,3.46,394
217285,2025-03-31,0.98,394
217287,2025-03-31,-13.94,394
207979,2025-03-31,0.52,453
217287,2025-03-31,3.50,453
217287,2025-03-31,1.60,3461
293680,2025-03-31,4.03,1690
217287,2025-03-31,-15.01,1690
293680,2025-03-31,1.08,2774
217287,2025-03-31,-2.64,2774
217287,2025-03-31,-21.41,3590
293680,2025-03-31,3.86,40450
217287,2025-03-31,-0.72,40450
293680,2025-03-31,1.57,1500
217287,2025-03-31,0.07,1500
217287,2025-03-31,-0.00,3641
293680,2025-03-31,1.17,1682
217287,2025-03-31,1.90,1682
293680,2025-03-31,0.05,3212
218038,2025-03-31,0.12,3212
217287,2025-03-31,-22.59,3212
207979,2025-03-31,0.07,44421
217641,2025-03-31,2.44,44421
217287,2025-03-31,0.58,44421
293680,2025-03-31,1.78,1114
217287,2025-03-31,-0.84,1114
217287,2025-03-31,-8.74,7914
293680,2025-03-31,2.05,2628
217639,2025-03-31,0.01,2628
217287,2025-03-31,-11.35,2628
293680,2025-03-31,0.75,3728
217287,2025-03-31,2.16,3728
207979,2025-03-31,5.00,21218
217287,2025-03-31,-15.58,21218
293680,2025-03-31,2.05,2832
217287,2025-03-31,-2.98,2832
293680,2025-03-31,0.48,8499
217287,2025-03-31,2.43,8499
217287,2025-03-31,-22.08,1340
293680,2025-03-31,1.73,11925
217287,2025-03-31,2.83,11925
293680,2025-03-31,0.74,31896
217639,2025-03-31,0.00,31896
217287,2025-03-31,2.54,31896
293680,2025-03-31,1.03,2843
217287,2025-03-31,2.10,2843
293680,2025-03-31,1.01,20747
217639,2025-03-31,0.01,20747
217287,2025-03-31,1.73,20747
207979,2025-03-31,1.34,468
217285,2025-03-31,0.98,468
217287,2025-03-31,-1.70,468
207979,2025-03-31,0.57,7727
217287,2025-03-31,1.29,7727
293680,2025-03-31,2.66,39949
217287,2025-03-31,-1.47,39949
207979,2025-03-31,0.14,16903
217287,2025-03-31,2.92,16903
207979,2025-03-31,0.06,45008
217641,2025-03-31,4.09,45008
217287,2025-03-31,0.03,45008
293680,2025-03-31,1.93,12454
217287,2025-03-31,-0.81,12454
293680,2025-03-31,4.62,2785
217287,2025-03-31,0.98,2785
217287,2025-03-31,2.15,3626
217285,2025-03-31,73.82,2787
293680,2025-03-31,18.82,2787
217287,2025-03-31,-0.09,2787
207979,2025-03-31,2.46,440
217287,2025-03-31,-1.37,440
293680,2025-03-31,4.12,2754
217287,2025-03-31,-0.71,2754
293680,2025-03-31,100.11,2155
217639,2025-03-31,0.03,2155
217287,2025-03-31,-0.14,2155
293680,2025-03-31,0.03,2240
217287,2025-03-31,-14.01,2240
207979,2025-03-31,0.09,46127
217641,2025-03-31,2.61,46127
217287,2025-03-31,0.00,46127
217287,2025-03-31,1.69,3628
293680,2025-03-31,8.59,1032
217639,2025-03-31,0.00,1032
217287,2025-03-31,-23.17,1032
293680,2025-03-31,2.47,513
217287,2025-03-31,0.82,513
293680,2025-03-31,0.64,8080
217287,2025-03-31,2.88,8080
293680,2025-03-31,5.08,1052
217639,2025-03-31,0.01,1052
217287,2025-03-31,-14.84,1052
207979,2025-03-31,10.81,45007
217641,2025-03-31,1.95,45007
217287,2025-03-31,8.07,45007
293680,2025-03-31,0.15,1097
217639,2025-03-31,0.03,1097
217287,2025-03-31,1.43,1097
293680,2025-03-31,1.00,2797
217287,2025-03-31,2.13,2797
293680,2025-03-31,0.57,35207
217639,2025-03-31,0.00,35207
217287,2025-03-31,2.02,35207
207979,2025-03-31,0.50,45732
217287,2025-03-31,1.89,45732
217287,2025-03-31,0.43,3644
217287,2025-03-31,-19.34,2137
293680,2025-03-31,0.65,45947
217287,2025-03-31,2.51,45947
293680,2025-03-31,1.13,1117
217285,2025-03-31,90.44,1117
217287,2025-03-31,0.74,1117
293680,2025-03-31,1.45,45898
217287,2025-03-31,2.18,45898
207979,2025-03-31,1.90,8488
217287,2025-03-31,3.44,8488
217287,2025-03-31,-14.53,7554
207979,2025-03-31,0.47,5183
217287,2025-03-31,-2.49,5183
207979,2025-03-31,0.11,287
217287,2025-03-31,2.69,287
207979,2025-03-31,0.08,7594
217287,2025-03-31,-21.13,7594
217285,2025-03-31,89.82,41653
293680,2025-03-31,3.09,41653
217287,2025-03-31,0.27,41653
293680,2025-03-31,2.12,2796
217287,2025-03-31,1.03,2796
293680,2025-03-31,0.51,2566
217639,2025-03-31,0.02,2566
217287,2025-03-31,2.46,2566
217641,2025-03-31,1.87,45388
217287,2025-03-31,0.06,45388
217287,2025-03-31,-0.10,45342
293680,2025-03-31,0.93,21538
217287,2025-03-31,2.33,21538
293680,2025-03-31,1.18,1606
217287,2025-03-31,2.45,1606
207979,2025-03-31,0.41,44426
217641,2025-03-31,0.00,44426
217287,2025-03-31,-0.03,44426
293680,2025-03-31,0.80,1512
217287,2025-03-31,-0.87,1512
293680,2025-03-31,0.13,2621
217639,2025-03-31,0.01,2621
217287,2025-03-31,0.96,2621
293680,2025-03-31,0.21,45412
217639,2025-03-31,0.00,45412
217287,2025-03-31,1.89,45412
293680,2025-03-31,3.17,2646
217639,2025-03-31,0.01,2646
217287,2025-03-31,1.72,2646
217287,2025-03-31,4.92,3660
293680,2025-03-31,0.09,2615
217639,2025-03-31,0.02,2615
217287,2025-03-31,-5.33,2615
293680,2025-03-31,2.16,2778
217287,2025-03-31,1.83,2778
207979,2025-03-31,89.61,42062
217287,2025-03-31,0.41,42062
293680,2025-03-31,3.15,2664
217639,2025-03-31,0.03,2664
217287,2025-03-31,2.19,2664
207979,2025-03-31,0.38,36744
217287,2025-03-31,3.37,36744
207979,2025-03-31,0.03,47283
217641,2025-03-31,2.02,47283
217287,2025-03-31,0.43,47283
293680,2025-03-31,0.46,12456
217287,2025-03-31,2.16,12456
293680,2025-03-31,0.57,23913
217287,2025-03-31,3.07,23913
217287,2025-03-31,2.31,3437
207979,2025-03-31,1.52,8032
217287,2025-03-31,2.83,8032
293680,2025-03-31,1.42,631
217287,2025-03-31,-0.26,631
293680,2025-03-31,1.36,13656
217639,2025-03-31,0.02,13656
217287,2025-03-31,2.35,13656
293680,2025-03-31,0.56,1667
217287,2025-03-31,2.70,1667
293680,2025-03-31,0.49,2158
217287,2025-03-31,4.21,2158
293680,2025-03-31,0.98,45991
217287,2025-03-31,0.75,45991
293680,2025-03-31,5.43,2902
217639,2025-03-31,0.01,2902
217287,2025-03-31,-2.17,2902
293680,2025-03-31,0.01,2323
217639,2025-03-31,-12.97,2323
293680,2025-03-31,5.34,7934
217287,2025-03-31,-1.91,7934
217287,2025-03-31,1.44,3662
217287,2025-03-31,3.10,7143
217285,2025-03-31,89.86,41518
207979,2025-03-31,1.31,41518
217287,2025-03-31,-0.09,41518
293680,2025-03-31,0.32,45426
217639,2025-03-31,0.02,45426
217287,2025-03-31,1.49,45426
207979,2025-03-31,1.22,6688
217641,2025-03-31,0.00,6688
217287,2025-03-31,-16.85,6688
217287,2025-03-31,3.03,39515
217287,2025-03-31,0.03,38439
217287,2025-03-31,-3.23,29356
207979,2025-03-31,0.45,45013
217641,2025-03-31,0.00,45013
217287,2025-03-31,-0.01,45013
217285,2025-03-31,87.26,41900
293680,2025-03-31,1.32,41900
217639,2025-03-31,0.24,41900
217287,2025-03-31,0.03,41900
293680,2025-03-31,3.29,45422
217639,2025-03-31,0.00,45422
217287,2025-03-31,0.96,45422
