fincode,invdate,percent_aum,schemecode
1117566,2026-05-31,0.49,2828
1107248,2026-05-31,0.23,2828
1116143,2026-05-31,0.19,2828
1116573,2026-05-31,0.08,2828
1057468,2026-05-31,0.35,2828
1133124,2026-05-31,4.09,2828
1134495,2026-05-31,1.86,2828
1134510,2026-05-31,1.36,2828
1133178,2026-05-31,1.26,2828
1133912,2026-05-31,1.26,2828
1131139,2026-05-31,1.26,2828
1133441,2026-05-31,1.26,2828
1133913,2026-05-31,1.25,2828
1134419,2026-05-31,0.71,2828
1134474,2026-05-31,0.71,2828
1133285,2026-05-31,0.63,2828
1133145,2026-05-31,0.63,2828
1133288,2026-05-31,0.63,2828
1133287,2026-05-31,0.63,2828
1133442,2026-05-31,0.63,2828
1133399,2026-05-31,0.63,2828
1133915,2026-05-31,0.63,2828
1133842,2026-05-31,0.63,2828
1133757,2026-05-31,0.62,2828
1133823,2026-05-31,0.62,2828
1131609,2026-05-31,0.57,2828
1133197,2026-05-31,0.52,2828
1133289,2026-05-31,0.50,2828
1133290,2026-05-31,0.50,2828
1133380,2026-05-31,0.50,2828
1133487,2026-05-31,0.50,2828
1134440,2026-05-31,0.50,2828
1133343,2026-05-31,0.44,2828
1130974,2026-05-31,0.44,2828
1133172,2026-05-31,0.44,2828
1134306,2026-05-31,0.44,2828
1134307,2026-05-31,0.43,2828
1133917,2026-05-31,0.38,2828
1133455,2026-05-31,0.38,2828
1133918,2026-05-31,0.37,2828
1133254,2026-05-31,0.35,2828
1133291,2026-05-31,0.32,2828
1133292,2026-05-31,0.31,2828
1133457,2026-05-31,0.31,2828
1133920,2026-05-31,0.31,2828
1134289,2026-05-31,0.31,2828
1134211,2026-05-31,0.31,2828
1133161,2026-05-31,0.28,2828
1133921,2026-05-31,0.26,2828
1132843,2026-05-31,0.25,2828
1133294,2026-05-31,0.25,2828
1133286,2026-05-31,0.25,2828
1133293,2026-05-31,0.25,2828
1131607,2026-05-31,0.25,2828
1133295,2026-05-31,0.25,2828
1133140,2026-05-31,0.25,2828
1133296,2026-05-31,0.25,2828
1133495,2026-05-31,0.25,2828
1133459,2026-05-31,0.25,2828
1133458,2026-05-31,0.25,2828
1133922,2026-05-31,0.25,2828
1133871,2026-05-31,0.25,2828
1133731,2026-05-31,0.25,2828
1133220,2026-05-31,0.20,2828
1133297,2026-05-31,0.19,2828
1133298,2026-05-31,0.19,2828
1133264,2026-05-31,0.19,2828
1133740,2026-05-31,0.19,2828
1133300,2026-05-31,0.13,2828
1133825,2026-05-31,0.13,2828
1133299,2026-05-31,0.13,2828
1133460,2026-05-31,0.13,2828
1133421,2026-05-31,0.13,2828
1133461,2026-05-31,0.09,2828
1133885,2026-05-31,0.06,2828
1133827,2026-05-31,0.03,2828
1133829,2026-05-31,0.03,2828
1133830,2026-05-31,0.03,2828
1131867,2026-05-31,3.96,2828
1134530,2026-05-31,3.13,2828
1134529,2026-05-31,3.13,2828
1133277,2026-05-31,1.89,2828
1133381,2026-05-31,1.89,2828
1133927,2026-05-31,1.81,2828
1132948,2026-05-31,1.26,2828
1134532,2026-05-31,1.26,2828
1133716,2026-05-31,1.25,2828
1134258,2026-05-31,1.24,2828
1134413,2026-05-31,1.24,2828
1134410,2026-05-31,1.24,2828
1134458,2026-05-31,1.24,2828
1130127,2026-05-31,1.24,2828
1134432,2026-05-31,1.24,2828
1134533,2026-05-31,1.24,2828
1134304,2026-05-31,1.15,2828
1133420,2026-05-31,0.94,2828
1134305,2026-05-31,0.93,2828
1133813,2026-05-31,0.85,2828
1133465,2026-05-31,0.69,2828
1133863,2026-05-31,0.69,2828
1133278,2026-05-31,0.63,2828
1133133,2026-05-31,0.63,2828
1133134,2026-05-31,0.63,2828
1133466,2026-05-31,0.63,2828
1133430,2026-05-31,0.63,2828
1134453,2026-05-31,0.62,2828
1134534,2026-05-31,0.62,2828
1133705,2026-05-31,0.60,2828
1130981,2026-05-31,0.50,2828
1128744,2026-05-31,0.50,2828
1134437,2026-05-31,0.31,2828
1133276,2026-05-31,0.28,2828
1131834,2026-05-31,0.25,2828
1129353,2026-05-31,0.24,2828
1128973,2026-05-31,0.16,2828
1133943,2026-05-31,0.09,2828
1131567,2026-05-31,0.06,2828
1132161,2026-05-31,0.06,2828
1130143,2026-05-31,0.06,2828
1134203,2026-05-31,0.06,2828
1133737,2026-05-31,3.25,2828
1133730,2026-05-31,3.03,2828
1133092,2026-05-31,2.88,2828
1133091,2026-05-31,2.52,2828
1055076,2026-05-31,0.04,1286
1107142,2026-05-31,0.46,1286
1116143,2026-05-31,0.41,1286
1116803,2026-05-31,0.37,1286
1115804,2026-05-31,0.27,1286
1117477,2026-05-31,0.15,1286
1117566,2026-05-31,0.15,1286
1123522,2026-05-31,0.15,1286
1113572,2026-05-31,0.10,1286
1123677,2026-05-31,0.07,1286
