fincode,invdate,percent_aum,schemecode
18172,2026-02-28,5.13,468
301200,2026-02-28,3.42,2796
294683,2026-02-28,1.27,2796
7741,2026-02-28,5.53,2796
48967,2026-02-28,5.11,2796
1117220,2026-02-28,0.00,16903
1130622,2026-02-28,-0.00,16903
1117221,2026-02-28,-0.00,16903
1117223,2026-02-28,-0.01,16903
1117219,2026-02-28,-0.00,16903
1130622,2026-02-28,-0.00,8488
1117219,2026-02-28,0.00,8488
1117221,2026-02-28,-0.00,8488
322323,2026-02-28,0.00,3660
17866,2026-02-28,12.36,3660
17867,2026-02-28,5.99,3660
41556,2026-02-28,2.11,3660
1117350,2026-02-28,-0.02,2621
1117350,2026-02-28,-0.02,2615
44421,2026-02-28,99.91,44426
322323,2026-02-28,0.04,45342
1130622,2026-02-28,-0.00,36744
1117350,2026-02-28,-0.02,2566
1117350,2026-02-28,-0.01,2664
1130622,2026-02-28,0.00,8032
1117219,2026-02-28,-0.00,8032
1117223,2026-02-28,-0.00,8032
19725,2026-02-28,37.40,47093
19603,2026-02-28,32.51,47093
18633,2026-02-28,18.07,47093
46392,2026-02-28,8.92,47093
49469,2026-02-28,0.68,47093
50282,2026-02-28,0.67,47093
49136,2026-02-28,0.34,47093
18644,2026-02-28,0.01,47093
3564,2026-02-28,14.63,7143
41556,2026-02-28,0.75,7143
48533,2026-02-28,0.02,7143
48534,2026-02-28,0.02,7143
286075,2026-02-28,0.74,7143
321253,2026-02-28,1.16,7143
294683,2026-02-28,0.91,7143
301200,2026-02-28,0.84,7143
214121,2026-02-28,0.76,7143
314083,2026-02-28,2.07,21538
302025,2026-02-28,0.48,21538
318688,2026-02-28,0.27,21538
294683,2026-02-28,1.05,21538
294683,2026-02-28,1.06,2778
214121,2026-02-28,0.78,2778
301200,2026-02-28,0.38,2778
310249,2026-02-28,1.93,2778
307192,2026-02-28,0.72,2778
318688,2026-02-28,0.07,2778
48533,2026-02-28,0.04,3437
48534,2026-02-28,0.04,3437
314083,2026-02-28,0.84,3437
286075,2026-02-28,0.64,3437
309632,2026-02-28,0.93,3437
321253,2026-02-28,0.79,3437
214121,2026-02-28,0.37,3437
322323,2026-02-28,0.04,38439
318688,2026-02-28,1.40,12456
314083,2026-02-28,1.05,12456
299683,2026-02-28,0.10,12456
294683,2026-02-28,4.09,12456
214121,2026-02-28,1.36,12456
301200,2026-02-28,0.85,12456
309632,2026-02-28,0.00,12456
1123374,2026-02-28,0.00,29356
1130622,2026-02-28,0.00,29356
1117221,2026-02-28,-0.00,29356
1117223,2026-02-28,-0.00,29356
1117220,2026-02-28,0.00,29356
1117222,2026-02-28,-0.00,29356
18024,2026-02-28,17.24,45488
18091,2026-02-28,15.02,45488
12319,2026-02-28,11.02,45488
18030,2026-02-28,9.04,45488
18054,2026-02-28,8.97,45488
18099,2026-02-28,5.06,45488
18759,2026-02-28,4.72,45488
18071,2026-02-28,4.04,45488
18763,2026-02-28,2.97,45488
45576,2026-02-28,2.93,45488
48191,2026-02-28,2.87,45488
18069,2026-02-28,2.62,45488
18052,2026-02-28,2.59,45488
18087,2026-02-28,1.69,45488
18082,2026-02-28,1.54,45488
45199,2026-02-28,1.01,45488
19219,2026-02-28,1.01,45488
48009,2026-02-28,0.81,45488
47424,2026-02-28,0.60,45488
294683,2026-02-28,1.01,16672
318688,2026-02-28,1.83,1667
310249,2026-02-28,1.03,1667
302025,2026-02-28,0.06,1667
294683,2026-02-28,3.56,1667
301200,2026-02-28,1.08,1667
214121,2026-02-28,0.39,1667
309632,2026-02-28,0.01,1667
1117350,2026-02-28,-0.02,13656
48534,2026-02-28,0.12,3662
48533,2026-02-28,0.12,3662
44435,2026-02-28,0.05,3662
319555,2026-02-28,0.05,3662
33150,2026-02-28,0.12,3650
48533,2026-02-28,0.11,3650
48534,2026-02-28,0.10,3650
286075,2026-02-28,0.34,3650
321253,2026-02-28,0.45,3650
309632,2026-02-28,0.43,3650
214121,2026-02-28,0.26,3650
45008,2026-02-28,99.80,45013
46127,2026-02-28,99.65,46128
48534,2026-02-28,0.10,3449
48533,2026-02-28,0.10,3449
319555,2026-02-28,0.05,3449
217849,2026-02-28,98.98,3564
1131705,2026-02-28,-0.01,916
1131705,2026-02-28,-0.01,15772
1117653,2026-02-28,-0.00,15772
322323,2026-02-28,0.04,3435
314083,2026-02-28,0.83,3454
321253,2026-02-28,2.12,3454
214121,2026-02-28,0.76,3454
294683,2026-02-28,0.71,3454
301200,2026-02-28,0.66,3454
314083,2026-02-28,0.80,1278
302025,2026-02-28,0.65,1278
318688,2026-02-28,0.46,1278
294683,2026-02-28,0.88,1278
319555,2026-02-28,0.03,3286
46552,2026-02-28,0.17,3286
301200,2026-02-28,5.12,45338
294683,2026-02-28,4.55,45338
214121,2026-02-28,0.68,45338
39563,2026-02-28,1.15,45338
214121,2026-02-28,0.80,1615
294683,2026-02-28,0.37,1615
294683,2026-02-28,0.64,1298
314083,2026-02-28,0.10,1298
41556,2026-02-28,3.31,48102
48534,2026-02-28,0.04,48102
48533,2026-02-28,0.04,48102
309632,2026-02-28,0.95,7683
294683,2026-02-28,0.67,7683
286075,2026-02-28,1.06,7683
286325,2026-02-28,0.82,7683
314083,2026-02-28,0.78,7683
301200,2026-02-28,0.95,2051
314083,2026-02-28,0.05,2051
1131705,2026-02-28,-0.00,44328
1117653,2026-02-28,-0.01,44328
294683,2026-02-28,4.39,5430
301200,2026-02-28,1.62,5430
309632,2026-02-28,0.66,5430
318688,2026-02-28,1.57,5430
314083,2026-02-28,1.55,5430
18994,2026-02-28,18.19,49973
19020,2026-02-28,11.12,49973
19018,2026-02-28,9.06,49973
18976,2026-02-28,9.02,49973
18997,2026-02-28,8.58,49973
18961,2026-02-28,8.40,49973
47655,2026-02-28,7.63,49973
32031,2026-02-28,5.69,49973
19005,2026-02-28,5.36,49973
19035,2026-02-28,4.13,49973
18974,2026-02-28,4.07,49973
18972,2026-02-28,4.06,49973
18979,2026-02-28,2.56,49973
18054,2026-02-28,44.12,16034
28455,2026-02-28,35.34,16034
18102,2026-02-28,18.17,16034
322323,2026-02-28,0.04,37338
47283,2026-02-28,99.58,47284
310249,2026-02-28,3.23,2770
307192,2026-02-28,0.96,2770
318688,2026-02-28,0.22,2770
286075,2026-02-28,0.95,3582
286325,2026-02-28,1.01,8136
318688,2026-02-28,0.87,8136
321253,2026-02-28,0.24,8136
314083,2026-02-28,0.10,8136
294683,2026-02-28,0.05,8136
18024,2026-02-28,33.26,50229
18091,2026-02-28,22.38,50229
18763,2026-02-28,17.24,50229
18759,2026-02-28,12.51,50229
46095,2026-02-28,9.88,50229
37838,2026-02-28,38.99,43840
30099,2026-02-28,19.56,43840
18242,2026-02-28,15.69,43840
19514,2026-02-28,9.38,43840
18866,2026-02-28,8.04,43840
18183,2026-02-28,2.81,43840
18497,2026-02-28,1.92,43840
294683,2026-02-28,4.23,22514
301200,2026-02-28,2.30,22514
309632,2026-02-28,0.57,22514
314083,2026-02-28,1.42,22514
318688,2026-02-28,1.14,22514
318688,2026-02-28,3.84,1968
314083,2026-02-28,0.42,1968
1117350,2026-02-28,-0.00,4186
1117350,2026-02-28,-0.03,6291
18957,2026-02-28,37.79,49840
19770,2026-02-28,27.77,49840
18991,2026-02-28,16.74,49840
19921,2026-02-28,16.33,49840
48534,2026-02-28,0.12,3631
48533,2026-02-28,0.12,3631
49242,2026-02-28,0.07,422
309632,2026-02-28,0.58,422
294683,2026-02-28,0.30,422
286325,2026-02-28,0.70,422
286075,2026-02-28,0.01,422
3564,2026-02-28,99.80,47003
309632,2026-02-28,1.67,29571
294683,2026-02-28,1.38,29571
286325,2026-02-28,2.46,29571
314083,2026-02-28,1.90,29571
286075,2026-02-28,0.49,29571
1131705,2026-02-28,-0.00,13350
301200,2026-02-28,1.99,2649
321253,2026-02-28,1.26,2649
309632,2026-02-28,1.19,2649
214121,2026-02-28,0.52,2649
310249,2026-02-28,1.18,2649
294683,2026-02-28,0.52,1281
286075,2026-02-28,1.49,35818
314083,2026-02-28,0.41,35818
309632,2026-02-28,1.57,35818
294683,2026-02-28,1.50,35818
321253,2026-02-28,1.40,35818
301200,2026-02-28,1.38,35818
322323,2026-02-28,0.01,210
294683,2026-02-28,3.81,8472
301200,2026-02-28,2.37,8472
314083,2026-02-28,3.75,8472
322323,2026-02-28,0.02,3581
46881,2026-02-28,99.67,46882
314083,2026-02-28,2.14,1274
302025,2026-02-28,1.14,1274
294683,2026-02-28,4.73,17578
318688,2026-02-28,2.84,17578
301200,2026-02-28,1.00,17578
214121,2026-02-28,0.82,17578
18866,2026-02-28,51.79,49936
19511,2026-02-28,41.14,49936
18846,2026-02-28,5.67,49936
29764,2026-02-28,37.92,28311
18707,2026-02-28,19.67,28311
18702,2026-02-28,18.73,28311
18689,2026-02-28,13.22,28311
44477,2026-02-28,9.36,28311
1117350,2026-02-28,-0.05,2580
318688,2026-02-28,1.83,23018
286325,2026-02-28,1.33,23018
321253,2026-02-28,1.06,23018
314083,2026-02-28,0.97,23018
294683,2026-02-28,0.18,23018
304097,2026-02-28,1.91,6932
302025,2026-02-28,0.76,6932
286325,2026-02-28,0.52,6932
12328,2026-02-28,6.50,48027
47938,2026-02-28,3.89,48027
1024,2026-02-28,3.77,48027
322323,2026-02-28,0.01,30400
314083,2026-02-28,2.00,14960
1117223,2026-02-28,0.01,9765
1131705,2026-02-28,-0.03,586
40653,2026-02-28,61.93,49714
19817,2026-02-28,36.18,49714
304097,2026-02-28,1.66,25569
286325,2026-02-28,0.58,25569
314083,2026-02-28,0.37,25569
45337,2026-02-28,99.56,45699
322323,2026-02-28,0.01,30401
319555,2026-02-28,0.56,21522
1121741,2026-02-28,0.00,45632
1117223,2026-02-28,0.00,45632
1117222,2026-02-28,0.00,45632
1130622,2026-02-28,-0.00,45632
1123374,2026-02-28,-0.00,45632
1117220,2026-02-28,-0.00,45632
1131705,2026-02-28,-0.03,925
49168,2026-02-28,61.34,50378
30099,2026-02-28,38.09,50378
322323,2026-02-28,0.03,8465
34198,2026-02-28,11.89,8465
322323,2026-02-28,0.05,49366
289108,2026-02-28,1.34,75033
242461,2026-02-28,1.20,75033
132174,2026-02-28,1.26,75033
132777,2026-02-28,1.08,75033
100520,2026-02-28,1.27,75033
100253,2026-02-28,1.31,75033
100510,2026-02-28,1.26,75033
132500,2026-02-28,1.11,75033
100820,2026-02-28,1.22,75033
132488,2026-02-28,1.20,75033
100124,2026-02-28,1.35,75033
132424,2026-02-28,1.36,75033
100104,2026-02-28,1.33,75033
100228,2026-02-28,1.28,75033
100247,2026-02-28,0.78,75033
220741,2026-02-28,1.32,75033
100800,2026-02-28,1.29,75033
